open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775016600000,2101.99,2102.54,2099.22,2100.86,9347.520,1775016899999,19636031.47746,17067,4509.597,9473342.65988,0
1775016900000,2100.86,2105.79,2099.59,2105.50,8534.485,1775017199999,17953293.02240,14187,5071.230,10668187.17567,0
1775017200000,2105.49,2109.97,2104.32,2107.13,23884.946,1775017499999,50335259.38633,30361,16297.681,34345889.14500,0
1775017500000,2107.12,2109.76,2106.74,2109.21,12271.551,1775017799999,25875168.22200,18808,7249.793,15286406.26957,0
1775017800000,2109.21,2109.82,2106.76,2109.27,8739.206,1775018099999,18426623.33852,12326,3436.172,7245257.21264,0
1775018100000,2109.27,2111.23,2107.00,2108.75,12855.021,1775018399999,27113015.49602,18376,6874.506,14501431.31535,0
1775018400000,2108.76,2111.18,2108.32,2108.76,6975.650,1775018699999,14718350.59575,10259,3447.714,7274816.41160,0
1775018700000,2108.76,2113.22,2107.99,2111.40,12061.987,1775018999999,25456285.97570,15920,7389.780,15598203.96354,0
1775019000000,2111.40,2115.71,2111.11,2111.62,16331.021,1775019299999,34511395.29005,19640,9966.529,21063758.71282,0
1775019300000,2111.63,2111.71,2108.33,2110.39,7191.085,1775019599999,15173537.38115,12463,3409.063,7193259.34043,0
1775019600000,2110.38,2111.00,2105.27,2105.99,13179.579,1775019899999,27776976.77014,19152,5835.772,12299396.17209,0
1775019900000,2106.00,2109.50,2105.74,2109.00,9167.290,1775020199999,19322631.05683,10967,6463.515,13623422.75460,0
1775020200000,2109.00,2114.48,2107.56,2112.84,10277.643,1775020499999,21687386.86189,12251,6417.367,13543168.06423,0
1775020500000,2112.83,2121.42,2111.56,2118.01,35990.414,1775020799999,76202003.97503,44531,23339.540,49418767.63040,0
1775020800000,2118.01,2123.90,2116.43,2121.77,28391.083,1775021099999,60191605.33308,36394,16387.446,34746344.42505,0
1775021100000,2121.76,2135.60,2121.63,2126.54,99833.868,1775021399999,212662785.63573,99419,59661.672,127098834.18168,0
1775021400000,2126.54,2130.61,2125.00,2128.77,26185.012,1775021699999,55698641.93987,31376,14703.527,31278462.81794,0
1775021700000,2128.78,2129.24,2123.21,2124.26,17339.181,1775021999999,36848899.53495,25315,7233.651,15373750.22058,0
1775022000000,2124.26,2126.00,2122.37,2124.60,9962.120,1775022299999,21163308.75448,16207,5585.967,11867265.22745,0
1775022300000,2124.59,2125.86,2122.25,2124.06,11890.668,1775022599999,25248544.10120,14047,4938.240,10486216.85370,0
1775022600000,2124.06,2127.32,2123.81,2124.91,9943.049,1775022899999,21135844.96037,18512,5925.533,12595598.50495,0
1775022900000,2124.91,2125.16,2121.48,2121.65,9232.997,1775023199999,19598603.81595,13043,2707.369,5747013.69059,0
1775023200000,2121.65,2125.50,2121.61,2124.99,12754.623,1775023499999,27088381.17630,18510,7907.004,16793261.87628,0
1775023500000,2124.98,2136.95,2124.80,2133.27,47923.494,1775023799999,102139904.56990,51007,32350.325,68948258.33132,0
1775023800000,2133.27,2143.33,2133.27,2137.23,65814.283,1775024099999,140707964.07328,64551,43190.042,92338492.96909,0
1775024100000,2137.23,2140.00,2134.07,2139.04,30244.208,1775024399999,64637721.56384,38664,18893.100,40380748.15747,0
1775024400000,2139.05,2140.00,2134.79,2139.80,23591.784,1775024699999,50424088.72112,32801,11990.619,25631684.09709,0
1775024700000,2139.80,2144.27,2138.55,2143.00,42228.163,1775024999999,90451041.91475,48085,24980.391,53508970.55243,0
1775025000000,2142.99,2146.99,2140.40,2146.10,43258.011,1775025299999,92753324.34624,52952,26676.620,57206789.76044,0
1775025300000,2146.10,2150.00,2143.79,2144.99,42088.791,1775025599999,90375776.99581,46858,24869.775,53411843.32412,0
1775025600000,2144.99,2154.94,2144.01,2154.10,42690.380,1775025899999,91801199.49784,47120,26556.932,57110649.36680,0
1775025900000,2154.10,2156.47,2147.07,2147.64,45790.671,1775026199999,98488729.35180,53258,20801.300,44745107.55495,0
1775026200000,2147.63,2148.79,2145.74,2148.58,15497.964,1775026499999,33277488.99873,17859,5941.459,12758438.21082,0
1775026500000,2148.58,2152.59,2147.61,2150.27,17840.150,1775026799999,38364598.75666,20041,10843.325,23317870.00279,0
1775026800000,2150.27,2153.62,2150.27,2151.18,26133.067,1775027099999,56240240.20096,32673,11696.561,25172059.76085,0
1775027100000,2151.19,2157.99,2151.03,2153.78,23821.418,1775027399999,51305154.05279,27812,11656.326,25109813.04828,0
1775027400000,2153.78,2156.68,2147.60,2148.76,36867.999,1775027699999,79274247.05128,42262,14746.394,31706731.70732,0
1775027700000,2148.76,2149.00,2141.49,2141.50,33494.108,1775027999999,71872163.85153,36211,13475.707,28914783.37439,0
1775028000000,2141.50,2141.60,2136.75,2139.02,38979.943,1775028299999,83377744.98233,39991,16981.043,36317906.54528,0
1775028300000,2139.01,2141.10,2138.00,2138.46,17094.118,1775028599999,36573805.80758,16924,7650.143,16369978.52992,0
1775028600000,2138.45,2140.95,2136.54,2137.17,17441.721,1775028899999,37293572.26197,19428,6305.061,13482493.51878,0
1775028900000,2137.16,2141.11,2136.60,2139.21,10128.633,1775029199999,21665386.96012,13706,5652.862,12092884.26198,0
1775029200000,2139.21,2139.40,2136.72,2138.93,11215.981,1775029499999,23978680.10675,13853,5153.320,11017234.03015,0
1775029500000,2138.92,2139.40,2131.89,2133.62,21121.827,1775029799999,45092121.09910,22475,9480.014,20236440.72298,0
1775029800000,2133.62,2135.33,2131.38,2132.44,18383.746,1775030099999,39210110.13893,27801,9678.260,20641455.95153,0
1775030100000,2132.43,2133.50,2129.11,2130.13,27116.467,1775030399999,57775256.34880,27520,12263.015,26129608.37810,0
1775030400000,2130.13,2135.88,2129.97,2133.04,27237.761,1775030699999,58092167.33965,31466,14900.945,31779848.91504,0
1775030700000,2133.03,2134.41,2127.36,2127.81,16005.714,1775030999999,34091501.55749,22734,7154.095,15238914.37514,0
1775031000000,2127.81,2128.00,2124.43,2125.57,29655.742,1775031299999,63053647.71003,32486,14154.274,30093612.05297,0
1775031300000,2125.57,2130.38,2125.07,2129.20,20109.218,1775031599999,42793311.18160,20350,10715.658,22804060.02755,0
1775031600000,2129.20,2133.59,2129.20,2132.58,22179.863,1775031899999,47279353.99854,21061,11243.430,23966748.24941,0
1775031900000,2132.57,2136.42,2132.57,2135.44,26472.258,1775032199999,56516065.78743,22013,17062.233,36425106.60119,0
1775032200000,2135.44,2137.29,2133.80,2134.42,9558.132,1775032499999,20410573.84569,15761,4853.858,10365773.40084,0
1775032500000,2134.42,2142.10,2134.29,2139.31,24684.022,1775032799999,52799659.64514,28534,15815.710,33829522.70578,0
1775032800000,2139.31,2140.47,2136.51,2139.19,10447.831,1775033099999,22340155.76493,13976,4573.877,9781676.02300,0
1775033100000,2139.18,2139.84,2136.99,2139.13,8254.212,1775033399999,17651789.82691,13313,3466.478,7412913.05969,0
1775033400000,2139.12,2142.76,2132.57,2134.30,26356.768,1775033699999,56335294.48786,31589,10973.785,23462862.56806,0
1775033700000,2134.29,2139.01,2131.76,2136.02,12453.578,1775033999999,26589302.22176,23377,6665.219,14230111.13459,0
1775034000000,2136.03,2139.00,2134.55,2137.53,8982.109,1775034299999,19190990.41736,14984,4946.607,10569200.98072,0
1775034300000,2137.52,2139.50,2130.65,2131.68,16468.256,1775034599999,35149655.99073,24691,8226.797,17566900.70861,0
1775034600000,2131.69,2133.18,2130.50,2132.77,7184.857,1775034899999,15319061.98243,13485,3416.662,7285004.01650,0
1775034900000,2132.77,2134.50,2130.05,2131.43,9220.696,1775035199999,19660940.35764,14567,4080.580,8702671.16666,0
1775035200000,2131.43,2132.35,2127.40,2128.50,17167.711,1775035499999,36558359.58543,21390,8394.169,17876895.23561,0
1775035500000,2128.50,2133.00,2127.06,2132.83,13405.778,1775035799999,28556166.25267,17846,8155.122,17375628.79806,0
1775035800000,2132.83,2135.98,2132.70,2134.54,8143.178,1775036099999,17379697.64705,17228,4381.512,9351203.32150,0
1775036100000,2134.54,2135.20,2129.30,2129.31,10531.191,1775036399999,22460507.25281,15573,3394.558,7239704.18139,0
1775036400000,2129.30,2130.15,2127.51,2129.67,10553.220,1775036699999,22465725.46578,17061,4345.475,9250663.94726,0
1775036700000,2129.66,2134.20,2129.61,2134.19,8610.643,1775036999999,18355692.40368,15854,5096.652,10865390.07033,0
1775037000000,2134.20,2137.49,2134.14,2136.07,14157.728,1775037299999,30241097.34363,19512,6900.233,14738960.68527,0
1775037300000,2136.07,2137.42,2134.85,2135.49,7339.774,1775037599999,15675599.76808,11210,4177.627,8921677.17027,0
1775037600000,2135.50,2136.94,2131.07,2131.15,7810.980,1775037899999,16665790.95616,15291,3507.380,7483908.77906,0
1775037900000,2131.14,2133.12,2131.04,2131.14,6691.541,1775038199999,14265032.51783,12391,3590.994,7655758.98479,0
1775038200000,2131.13,2133.09,2130.02,2130.16,5983.146,1775038499999,12753531.62704,12217,2551.845,5439604.96406,0
1775038500000,2130.16,2132.79,2129.34,2131.03,7916.016,1775038799999,16866105.59535,13349,3407.215,7259443.11017,0
1775038800000,2131.02,2134.15,2131.02,2131.96,4952.490,1775039099999,10562134.75303,10876,2560.398,5460501.95075,0
1775039100000,2131.95,2131.96,2129.42,2129.88,6702.496,1775039399999,14280091.62139,12933,2946.845,6278004.23652,0
1775039400000,2129.88,2131.36,2127.23,2127.24,5447.219,1775039699999,11600493.42723,9723,2177.658,4638244.25862,0
1775039700000,2127.24,2129.89,2125.17,2129.08,13003.321,1775039999999,27659214.26273,17488,6135.741,13052389.26324,0
1775040000000,2129.09,2132.10,2129.08,2130.32,7156.156,1775040299999,15248853.14698,10569,4295.799,9153282.62096,0
1775040300000,2130.32,2134.66,2130.31,2134.65,6216.196,1775040599999,13256471.56315,12798,3520.212,7507038.83645,0
1775040600000,2134.65,2135.40,2132.05,2132.81,6987.560,1775040899999,14910160.02565,9602,2808.373,5993074.69368,0
1775040900000,2132.81,2132.81,2127.21,2131.58,6829.020,1775041199999,14544339.83071,13429,3395.626,7232033.84562,0
1775041200000,2131.58,2134.47,2130.86,2132.76,6838.524,1775041499999,14583552.21120,11531,3671.225,7828888.70640,0
1775041500000,2132.76,2132.84,2130.50,2130.55,4445.550,1775041799999,9477058.79645,9682,1720.303,3667540.08474,0
1775041800000,2130.54,2139.00,2129.58,2136.51,18637.183,1775042099999,39807236.61129,17065,12259.038,26186591.23400,0
1775042100000,2136.50,2136.76,2133.00,2134.43,15042.614,1775042399999,32123540.95802,16223,7609.448,16251025.71820,0
1775042400000,2134.42,2135.00,2130.93,2133.00,8492.066,1775042699999,18115859.20329,12279,3120.450,6656930.32640,0
1775042700000,2133.00,2136.12,2132.67,2133.03,6523.626,1775042999999,13927384.82517,10718,3610.750,7708930.20788,0
1775043000000,2133.03,2134.83,2131.20,2131.60,5927.972,1775043299999,12645229.14673,10523,2077.221,4431210.54707,0
1775043300000,2131.61,2136.00,2131.61,2135.48,6655.843,1775043599999,14204261.24852,10840,3628.595,7744169.75234,0
1775043600000,2135.49,2135.90,2132.53,2134.95,4729.443,1775043899999,10095191.81703,9577,1815.510,3874796.56876,0
1775043900000,2134.94,2135.82,2132.81,2134.20,4989.709,1775044199999,10649193.07051,7847,3154.578,6732410.85711,0
1775044200000,2134.20,2135.99,2133.08,2134.61,6430.819,1775044499999,13727960.06695,8991,3294.990,7033934.38541,0
1775044500000,2134.60,2135.29,2133.81,2134.18,6700.090,1775044799999,14302429.10880,8594,3721.762,7944662.42751,0
